127.0.0.1 - - [26/Nov/2023:11:52:31 -0500] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:57:17 -0500] "GET /reverselogic/js/modal.js HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:57:27 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:57:30 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:57:30 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:57:32 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [26/Nov/2023:11:57:44 -0500] "POST /reverselogic/Venta HTTP/1.1" 500 1426
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:43 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:43 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:46 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:49 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:50 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:50 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:50 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:51 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:51 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:51 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:51 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:51 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:51 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:51 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:52 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:52 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:52 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:52 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:52 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:52 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:53 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:53 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:53 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:53 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:53 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:53 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:54 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:54 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:54 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:55 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:55 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:55 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:55 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:55 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:56 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:58 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:58 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:02:59 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:00 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:29 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:31 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:31 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:37 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:37 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:37 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:44 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:44 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:44 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:45 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:45 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:45 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:45 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:03:50 -0500] "POST /reverselogic/Usuario HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "POST /reverselogic/Usuario HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/usuario-de-perfil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/css/Menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/Producto.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/logo-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/imgVenta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/devolucion.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/empleado.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/cliente.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/usuario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/detallitos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/prenda.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/fondoMenu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/instagram%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:13 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:21 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:21 -0500] "GET /reverselogic/img/registrarUsu.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:21 -0500] "GET /reverselogic/css/usuario.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:21 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:21 -0500] "GET /reverselogic/img/consultarUsu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:54 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:06:54 -0500] "GET /reverselogic/css/registrarEmple.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:07:09 -0500] "POST /reverselogic/Venta HTTP/1.1" 500 1426
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:14:00 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:14:00 -0500] "GET /reverselogic/css/registrarEmple.css HTTP/1.1" 200 3625
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:14:00 -0500] "GET /reverselogic/img/usuario-de-perfil.png HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:14:00 -0500] "GET /reverselogic/css/usuario.css HTTP/1.1" 200 2276
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:14:00 -0500] "GET /reverselogic/css/style.css HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:14:00 -0500] "GET /reverselogic/img/logo-removebg-preview.png HTTP/1.1" 200 33530
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:14:01 -0500] "GET /reverselogic/img/fondoMenu.jpg HTTP/1.1" 200 138858
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:14:01 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:14:13 -0500] "POST /reverselogic/Venta HTTP/1.1" 500 1426
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:21 -0500] "GET /reverselogic/img/logo-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:21 -0500] "GET /reverselogic/img/usuario-de-perfil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:21 -0500] "GET /reverselogic/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:21 -0500] "GET /reverselogic/css/registrarEmple.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:21 -0500] "GET /reverselogic/css/usuario.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:22 -0500] "GET /reverselogic/img/fondoMenu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:30 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:30 -0500] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/index.jsp HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/imgVenta.jpg HTTP/1.1" 200 52005
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/css/Menu.css HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/Producto.jpg HTTP/1.1" 200 7594
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/devolucion.png HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/empleado.jpg HTTP/1.1" 200 7147
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/facebook.png HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/usuario.jpg HTTP/1.1" 200 11707
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/detallitos.png HTTP/1.1" 200 43488
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/prenda.jpg HTTP/1.1" 200 8040
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/cliente.jpg HTTP/1.1" 200 9101
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/whatsapp.png HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:42 -0500] "GET /reverselogic/img/instagram%20(1).png HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:52 -0500] "GET /reverselogic/Detalles?enviar=detalle HTTP/1.1" 200 3759
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:52 -0500] "GET /reverselogic/img/como6icons.png%20alt= HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:52 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:52 -0500] "GET /reverselogic/img/camisita.png HTTP/1.1" 200 19793
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:52 -0500] "GET /reverselogic/img/colores.png HTTP/1.1" 200 33379
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:56 -0500] "GET /reverselogic/index.jsp HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:56 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:59 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:59 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:59 -0500] "GET /reverselogic/img/registrarUsu.avif HTTP/1.1" 200 9189
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:26:59 -0500] "GET /reverselogic/img/consultarUsu.png HTTP/1.1" 200 30373
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:27:00 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:27:21 -0500] "POST /reverselogic/Venta HTTP/1.1" 200 7349
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:27:22 -0500] "GET /reverselogic/css/cards.css HTTP/1.1" 200 6082
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:27:22 -0500] "GET /reverselogic/js/modal61.js HTTP/1.1" 200 3104
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:31:15 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:31:36 -0500] "POST /reverselogic/Venta HTTP/1.1" 200 11447
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:33:02 -0500] "POST /reverselogic/Venta HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:33:02 -0500] "GET /reverselogic/Venta?enviar=ConsultarVent HTTP/1.1" 200 9408
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:03 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:04 -0500] "GET /reverselogic/css/usuario.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:04 -0500] "GET /reverselogic/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:04 -0500] "GET /reverselogic/img/logo-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:04 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:04 -0500] "GET /reverselogic/img/usuario-de-perfil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:04 -0500] "GET /reverselogic/img/registrarUsu.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:04 -0500] "GET /reverselogic/img/consultarUsu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:04 -0500] "GET /reverselogic/img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:04 -0500] "GET /reverselogic/img/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:04 -0500] "GET /reverselogic/img/instagram%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:40 -0500] "GET /reverselogic/Venta?enviar=registerVent HTTP/1.1" 200 2790
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:47:40 -0500] "GET /reverselogic/css/registrarEmple.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:48:11 -0500] "GET /reverselogic/Venta?enviar=venta HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:48:11 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:48:14 -0500] "GET /reverselogic/index.jsp HTTP/1.1" 200 7277
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:48:14 -0500] "GET /reverselogic/css/Menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:48:14 -0500] "GET /reverselogic/img/imgVenta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:48:14 -0500] "GET /reverselogic/img/Producto.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:48:14 -0500] "GET /reverselogic/img/devolucion.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:48:14 -0500] "GET /reverselogic/img/prenda.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2023:12:48:14 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
