0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/empleado.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/cliente.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/usuario.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/detallitos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/Producto.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/prenda.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/imgVenta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/fondoMenu.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/instagram%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:06:56 -0500] "GET /reverselogic/img/devolucion.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:03 -0500] "GET /reverselogic/Usuario?enviar=usuario HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:03 -0500] "GET /reverselogic/css/usuario.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:03 -0500] "GET /reverselogic/img/registrarUsu.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:03 -0500] "GET /reverselogic/img/consultarUsu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:03 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:09 -0500] "GET /reverselogic/Usuario?enviar=registerUsu HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:09 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:09 -0500] "GET /reverselogic/css/registrarEmple.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:37 -0500] "POST /reverselogic/Usuario HTTP/1.1" 200 6097
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:38 -0500] "GET /reverselogic/js/modal4.js HTTP/1.1" 200 2155
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:48 -0500] "POST /reverselogic/CerrarSesion HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:49 -0500] "GET /reverselogic/Login.jsp HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:49 -0500] "GET /reverselogic/css/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:49 -0500] "GET /reverselogic/css/validacion.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:50 -0500] "GET /reverselogic/js/validacion.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:07:50 -0500] "GET /reverselogic/img/fondo8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:08:03 -0500] "POST /reverselogic/Usuario HTTP/1.1" 200 5082
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:08:03 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:08:03 -0500] "GET /reverselogic/css/menuEmp.css HTTP/1.1" 200 2079
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:08:30 -0500] "GET /reverselogic/Ventas?enviar=ventaEmple HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:17:11 -0500] "GET /reverselogic/Productos?enviar=productoEmple HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:01 -0500] "GET /reverselogic/Productos?enviar=productoEmple HTTP/1.1" 404 713
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:01 -0500] "GET /favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:14 -0500] "POST /reverselogic/Usuario HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:14 -0500] "GET /reverselogic/css/menuEmp.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:14 -0500] "GET /reverselogic/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/img/logo-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/img/usuario-de-perfil.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/img/Producto.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/img/devolucion.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/img/instagram%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/img/prenda.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/img/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/img/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/img/imgVenta.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:15 -0500] "GET /reverselogic/img/cliente.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:19 -0500] "GET /reverselogic/ProductosEmple?enviar=productoEmple HTTP/1.1" 404 718
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:26 -0500] "POST /reverselogic/Usuario HTTP/1.1" 200 5102
0:0:0:0:0:0:0:1 - - [27/Nov/2023:20:22:26 -0500] "GET /reverselogic/js/menu.js HTTP/1.1" 404 718
